Item Code,Product,UPC,Bill Units,Scan Units,Est. Units On Hand,Est. Sell Thru % (Units),Bill $,Sales
357069,ONE KITTEN FORMULA,1780035088, 4 , 4 , 0 ,100%,$31 ,$31 
926540,PUPPY CHOW TNDR & CRNCHY 4X4.4,1780040976, 4 , 1 , 3 ,25%,$18 ,$5 
15824,DOG CHOW COMPLETE BALANCED,1780041027, 0 , 2 ,(2),N/A,$0 ,$9 
71401,ONE DOG SMLL BTS BF & RC FRML,1780046404, 8 , 9 ,(1),113%,$63 ,$71 
348047,ONE CAT SALMON & RICE,1780047474, 8 , 6 , 2 ,75%,$63 ,$47 
298216,ONE CAT SALMON & TUNA,1780047490, 4 , 3 , 1 ,75%,$46 ,$34 
315076,ONE DOG CHICKEN & RICE FORMULA,1780047568, 8 , 12 ,(4),150%,$99 ,$149 
357072,ONE CAT URINARY TRACT HEALTH,1780054917, 0 , 1 ,(1),N/A,$0 ,$8 
298729,ONE CAT URINARY TRACT HEALTH,1780054920, 0 , 1 ,(1),N/A,$0 ,$11 
595001,PUR ONE SB HEALTHY PUPPY,1780057008, 4 , 2 , 2 ,50%,$32 ,$16 
321955,PURINA ONE HEALTHY PUPPY CHICK,1780057011, 4 , 2 , 2 ,50%,$49 ,$25 
626499,ONE CAT CHICKEN & RICE FORMULA,1780057192, 2 , 3 ,(1),150%,$46 ,$70 
315072,ONE DOG LAMB & RICE FORMULA,1780057312, 4 , 6 ,(2),150%,$49 ,$74 
127409,IAMS DOG GROUND W/CHKN & RICE,1901401329, 12 , 5 , 7 ,42%,$15 ,$7 
52646,IAMS DOG CHUNK BEEF/VG IN GRVY,1901402520, 12 , 11 , 1 ,92%,$15 ,$14 
173852,IAMS DOG WEIGHT CONTROL,1901461089, 4 , 4 , 0 ,100%,$78 ,$79 
173525,IAMS DOG MINICHUNKS,1901461090, 7 , 5 , 2 ,71%,$136 ,$97 
159325,IAMS LARGE BREED PUPPY,1901461094, 1 , 1 , 0 ,100%,$19 ,$19 
171697,IAMS DOG LARGE BREED,1901461097, 6 , 6 , 0 ,100%,$117 ,$117 
134467,IAMS ADULT HAIRBALL CARE,1901461191, 1 , 1 , 0 ,100%,$23 ,$23 
172820,IAMS DOG MATURE ADULT,1901461206, 3 , 2 , 1 ,67%,$58 ,$39 
156085,IAMS PROACTIVE MINICHUNKS,1901470071, 4 , 3 , 1 ,75%,$120 ,$90 
155296,IAMS DOG LARGE BREED,1901470072, 2 , 2 , 0 ,100%,$60 ,$60 
87287,IAMS PUPPY ORIG BIG 15LB,1901470420, 0 , 1 ,(1),N/A,$0 ,$19 
275006,IAMS DOG WET LAMB & RICE MLTPK,1901470707, 2 , 1 , 1 ,50%,$15 ,$8 
290893,IAMS DOG MINICHUNKS,1901471108, 4 , 3 , 1 ,75%,$44 ,$33 
290915,IAMS PUPPY ORIGINAL BONUS,1901471110, 4 , 2 , 2 ,50%,$44 ,$22 
290852,IAMS DOG WEIGHT CONTROL,1901471112, 4 , 3 , 1 ,75%,$44 ,$33 
323156,IAMS HEALTHY ADULT ORIG W CHKN,1901471226, 1 , 1 , 0 ,100%,$23 ,$23 
134871,IAMS INDOOR WEIGHT/HAIRBALL,1901471229, 1 , 1 , 0 ,100%,$23 ,$23 
356849,IAMS ADULT CAT FOOD HAIRBALL,1901471238, 4 , 1 , 3 ,25%,$30 ,$7 
40580,IAMS CAT FOOD HAIRBALL CARE,1901471243, 0 , 1 ,(1),N/A,$0 ,$13 
41840,IAMS INDOOR CF WEIGHT/HAIRBALL,1901471245, 12 , 12 , 0 ,100%,$151 ,$151 
356847,IAMS INDOOR CF WEIGHT/HAIRBALL,1901471246, 8 , 6 , 2 ,75%,$60 ,$45 
356942,IAMS HEALTHY ADULT ORIGINAL,1901471256, 4 , 3 , 1 ,75%,$30 ,$22 
41277,IAMS HEALTHY ADULT ORIGINAL,1901471257, 0 , 2 ,(2),N/A,$0 ,$25 
356850,IAMS LIVELY SENIOR CAT FOOD,1901471261, 4 , 1 , 3 ,25%,$30 ,$7 
384302,IAMS PAH BEEF CHICKEN,1901480085, 2 , 2 , 0 ,100%,$33 ,$33 
682923,IAMS PROACTIVE HEALTH HIGH PRO,1901480217, 0 , 1 ,(1),N/A,$0 ,$8 
927218,IAMS PP PATE TUNA,1901480231, 0 , 7 ,(7),N/A,$0 ,$7 
641574,IAMS PP PATE SALMON,1901480232, 0 , 19 ,(19),N/A,$0 ,$18 
656783,IAMS PP PATE CHICKEN KITTEN,1901480233, 24 , 15 , 9 ,63%,$22 ,$14 
779840,IAMS PP CHICK & TUNA TWIN PACK,1901480236, 0 , 1 ,(1),N/A,$0 ,$11 
465326,IAMS PP ADLT CKN CUTS IN GRAVY,1901480261, 0 , 17 ,(17),N/A,$0 ,$16 
875857,IAMS PP INDR SMN CUTS IN GRAVY,1901480264, 0 , 11 ,(11),N/A,$0 ,$10 
821879,IAMS LAMB AND RICE,1901480331, 4 , 3 , 1 ,75%,$78 ,$58 
637417,IAMS LAMB AND RICE,1901480334, 0 , 1 ,(1),N/A,$0 ,$30 
956642,IAMS SMALL/TOY BREED,1901480344, 0 , 2 ,(2),N/A,$0 ,$22 
888170,IAMS DRY CAT ADLT SLMN TN 3.5L,1901480411, 4 , 2 , 2 ,50%,$31 ,$15 
566923,IAMS ADLT SLMN & TN 7LB,1901480412, 0 , 2 ,(2),N/A,$0 ,$27 
483668,IAMS DRY CAT SNSTV DGSTN 3LB,1901480510, 0 , 1 ,(1),N/A,$0 ,$8 
695864,IAMS DRY CAT SNSTV DGSTN 6LB,1901480511, 0 , 1 ,(1),N/A,$0 ,$13 
137484,TEMPTATIONS CREAMY DAIRY FLAV,2310000072, 0 , 1 ,(1),N/A,$0 ,$3 
89879,TEMPTATIONS BLISSFUL CATNIP FL,2310000099, 12 , 9 , 3 ,75%,$18 ,$14 
88828,TEMPTATIONS MIX UPS BACKYARD,2310000157, 0 , 3 ,(3),N/A,$0 ,$5 
87450,TEMPTATIONS MIX UPS SURFERS DL,2310000158, 0 , 1 ,(1),N/A,$0 ,$2 
203518,PEDIGREE GROUND W/CHOPPED BEEF,2310001004, 12 , 9 , 3 ,75%,$10 ,$8 
191244,PEDIGREE GROUND W/BF/CHSD,2310001017, 0 , 5 ,(5),N/A,$0 ,$4 
12936,PEDIGREE GROUND W/BF/BCN/CHS,2310001018, 12 , 9 , 3 ,75%,$16 ,$12 
170374,PED. TGD W CHP CKN SING,2310001076, 0 , 9 ,(9),N/A,$0 ,$12 
12939,PEDIGREE COMBO W/CHKN-BF-LIVER,2310001078, 12 , 11 , 1 ,92%,$16 ,$15 
195608,PEDIGREE GROUND W/TURKEY/BACON,2310001108, 12 , 11 , 1 ,92%,$10 ,$9 
42614,CESAR W/BEEF,2310001401, 0 , 7 ,(7),N/A,$0 ,$6 
9676,CESAR SELECT W/TURKEY,2310001407, 0 , 5 ,(5),N/A,$0 ,$4 
742908,CESAR W/CHICKEN & VEAL,2310001411, 0 , 3 ,(3),N/A,$0 ,$2 
