Item Code,Product,UPC,Bill Units,Scan Units,Est. Units On Hand,Est. Sell Thru % (Units),Bill $,Sales
84030,FM GF JERKY TENDER LMB W RSMRY,81033902055, 96 , 95 , 1 ,99%,$382 ,$380 
84223,FM GF JERKY WILD GAME W APPLE,81033902056, 54 , 49 , 5 ,91%,$215 ,$195 
84061,FM GF JERKY CHKN W ROSEMARY,81033902057, 84 , 77 , 7 ,92%,$334 ,$308 
86832,FM CHKN TUNA LGHT IN CHKN BRTH,81033902074, 72 , 78 ,(6),108%,$90 ,$98 
351120,FM WHITEFISH SALMON OLV OIL,81033902080, 40 , 36 , 4 ,90%,$359 ,$323 
351125,FM CHKN TRKY CRNBRY,81033902082, 16 , 16 , 0 ,100%,$256 ,$256 
116286,LIL TEX RNCH CHX JRKY,81814501182, 18 , 16 , 2 ,89%,$107 ,$95 
112502,LIL TEX RNCH CHX JRKY,81814501185, 30 , 30 , 0 ,100%,$263 ,$263 
325722,VETIQ MINTIES DENTAL BONES SML,81814501568, 24 , 29 ,(5),121%,$80 ,$97 
0,VETIQ MINTIES DENTL BONES M/LG,81814501569, 33 , 35 ,(2),106%,$110 ,$116 
0,VETIQ MINTIES DENTAL BONES SML,81814501570, 48 , 45 , 3 ,94%,$396 ,$371 
0,VETIQ MINTIES DENTL BONES M/LG,81814501571, 50 , 49 , 1 ,98%,$412 ,$404 
334635,MM TNDR FAVORITE TUNA & SHRIMP,82927400615, 132 , 127 , 5 ,96%,$63 ,$61 
334636,MM TNDR FAVORITES SLMN & CRAB,82927400616, 120 , 114 , 6 ,95%,$58 ,$55 
334638,MM TNDR FAVORITES CHKN & BEEF,82927400617, 84 , 87 ,(3),104%,$40 ,$42 
48625,MM POULTRY & BEEF,82927400622, 76 , 69 , 7 ,91%,$436 ,$396 
220871,MM POULTRY & SEAFOOD,82927400623, 52 , 49 , 3 ,94%,$298 ,$282 
390049,MM SMPLE SRVNG TUNA SALMON,82927414802, 60 , 59 , 1 ,98%,$47 ,$46 
390067,MM SMPLE SRVNG 12CT SF VP,82927414837, 56 , 54 , 2 ,96%,$255 ,$247 
390074,MM SMPLE SRVNG 24CT SF VP,82927414851, 40 , 38 , 2 ,95%,$359 ,$341 
390045,MM SMPLE SRVNG TUNA WHTFSH,82927414961, 96 , 96 , 0 ,100%,$75 ,$75 
420973,MM BASTED BITES CKN TUNA,82927421880, 196 , 194 , 2 ,99%,$780 ,$773 
867692,MM BASTED BITES CKN TUNA,82927421920, 58 , 56 , 2 ,97%,$689 ,$665 
181921,MEOW MIX ORIGINAL,82927450225, 87 , 87 , 0 ,100%,"$1,034 ","$1,035 "
263014,MMIX TENDER FAV POULTRY/BEEF,82927450236, 66 , 66 , 0 ,100%,$718 ,$719 
237486,MMIX PATE TPRS VPK SEAFD&CHKN,82927451229, 44 , 46 ,(2),105%,$253 ,$264 
172073,MEOW MIX TENDERCENTRS SLMN-CKN,82927451250, 41 , 41 , 0 ,100%,$487 ,$487 
463876,MMIX TNDR CNTR SLM CHKN 3LB,82927451252, 124 , 128 ,(4),103%,$494 ,$511 
860307,MMIX ORIGINAL DRY CAT 3.15LB,82927451375, 152 , 154 ,(2),101%,$605 ,$614 
615543,MMIX ORIGINAL CAT FOOD 6.3LB,82927451376, 132 , 127 , 5 ,96%,"$1,027 ",$988 
472705,MEOW MIX IRR SOFT SALMON,82927452716, 132 , 119 , 13 ,90%,$192 ,$158 
818618,MM IRR CHKN TKY 2.5OZ,82927452719, 75 , 71 , 4 ,95%,$110 ,$105 
556220,BB HOMESTYLE CHIKN ADULT DOG,84024310017, 408 , 404 , 4 ,99%,$881 ,$873 
635591,BB WILD PUP TRKY & CHKN 12.5OZ,84024310123, 156 , 152 , 4 ,97%,$387 ,$377 
533384,BB WILD SR DOG TRKY & CHK 12.5,84024310124, 96 , 102 ,(6),106%,$238 ,$253 
559081,BB DOG WOLF CRK STW BEEF 12.5,84024310128, 180 , 178 , 2 ,99%,$446 ,$441 
955642,BB WILD BITS TRAIL TRTS SALMON,84024310132, 48 , 48 , 0 ,100%,$240 ,$240 
804038,BB PATE KITTEN CHICKEN ENTREE,84024310212, 72 , 69 , 3 ,96%,$71 ,$69 
493941,BB PATE ADULT INDOOR CHKN,84024310213, 72 , 74 ,(2),103%,$71 ,$73 
642092,BB FLAKED FISH & SHRIMP,84024310220, 240 , 232 , 8 ,97%,$238 ,$230 
800190,BB FLAKED CHICKEN CAT,84024310221, 72 , 45 , 27 ,63%,$95 ,$45 
811896,BB MEATY MORSELS TUNA,84024310226, 144 , 154 ,(10),107%,$143 ,$153 
421725,BB BLUE PATE ADULT CHICK 5.5OZ,84024310230, 312 , 317 ,(5),102%,$381 ,$387 
581509,BB CHIKN RICE ADULT DOG SMALL,84024310487, 115 , 116 ,(1),101%,"$1,838 ","$1,854 "
734548,BB HOMESTYLE CHKN DOG FOOD,84024310493, 312 , 317 ,(5),102%,$674 ,$686 
823362,BB HOMESTYLE REC LAMB 12.5OZDG,84024310494, 264 , 267 ,(3),101%,$570 ,$578 
957650,BB HOMESTYLE BEEF DOG FOOD,84024310495, 300 , 298 , 2 ,99%,$648 ,$646 
721089,BB HOMESTYLE TURKEY DOG FOOD,84024310496, 228 , 230 ,(2),101%,$492 ,$498 
668362,BB CHIKN STEW DOG FOOD,84024310519, 180 , 182 ,(2),101%,$446 ,$452 
515290,BB BEEF STEW DOG FOOD,84024310521, 132 , 145 ,(13),110%,$327 ,$360 
674910,BB WILD ADLT DOG CHKN,84024310532, 25 , 25 , 0 ,100%,$475 ,$475 
826017,BB WILD ADLT DOG CHICKEN,84024310533, 35 , 35 , 0 ,100%,"$1,049 ","$1,050 "
866159,BB WILDRNSS ADLT DOG SALMN,84024310535, 30 , 30 , 0 ,100%,$569 ,$570 
622974,BB WILD ADT DOG SALMON,84024310536, 35 , 34 , 1 ,97%,"$1,200 ","$1,167 "
895444,BB HOMESTYLE CHIKN DINR SMALL,84024310550, 264 , 249 , 15 ,94%,$438 ,$414 
642941,BB FAM FAV BBQ DOG FOOD,84024310554, 156 , 146 , 10 ,94%,$387 ,$362 
715377,BB FAM FAV TURKEY DOG FOOD,84024310557, 108 , 113 ,(5),105%,$268 ,$280 
824074,BB HBR APPL & YOG 16OZ DOG,84024310561, 64 , 98 ,(34),153%,$287 ,$441 
463600,BB HOMESTYLE CHIKN PUPPY FOOD,84024310573, 84 , 81 , 3 ,96%,$181 ,$175 
523432,BB HBR BAC EGG & CH 16OZ DOG,84024310633, 204 , 212 ,(8),104%,$916 ,$953 
517978,BB WILD DOG SALMN & CHK 12.5OZ,84024311292, 192 , 189 , 3 ,98%,$448 ,$443 
413311,BB CHICKEN BITS VALUE SIZE DOG,84024311665, 78 , 81 ,(3),104%,$622 ,$649 
458441,BB KITTY CRAVINGS CHICKEN,84024312021, 30 , 26 , 4 ,87%,$54 ,$47 
870559,BB KITTY CRAVINGS SALMON,84024312023, 36 , 39 ,(3),108%,$64 ,$70 
957847,BB KITTY CRAVINGS TUNA,84024312025, 36 , 32 , 4 ,89%,$64 ,$57 
918762,BB HLTHY ADULT VARIETY FLAKED,84024312122, 110 , 110 , 0 ,100%,"$1,207 ","$1,208 "
476680,BB HLTHY KITTEN VARIETY PACK,84024312124, 52 , 50 , 2 ,96%,$254 ,$244 
979515,BB CHIKN ADULT CAT FOOD,84024312239, 8 , 8 , 0 ,100%,$192 ,$192 
624491,BB ADLT CAT INDR HAIRBALL,84024312242, 20 , 22 ,(2),110%,$320 ,$349 
671825,BB ADULT CAT INDOOR FORMULA,84024312243, 18 , 17 , 1 ,94%,$432 ,$408 
973259,BB ADULT CAT INDOOR FORMULA,84024312244, 36 , 30 , 6 ,83%,$311 ,$261 
729627,BB ADULT CAT INDOOR,84024312245, 35 , 38 ,(3),109%,$554 ,$604 
876782,BB ADULT CAT INDOOR SALMON,84024312246, 18 , 20 ,(2),111%,$150 ,$167 
547500,BB ADULT CAT INDOOR SALMON,84024312247, 15 , 16 ,(1),107%,$240 ,$255 
926953,BB CHIKN SENSTV ADULT CAT FOOD,84024312248, 10 , 10 , 0 ,100%,$240 ,$241 
713112,BB ADULT CAT SS CHKN,84024312249, 48 , 41 , 7 ,85%,$413 ,$355 
427331,BB ADULT CAT SS CKN,84024312250, 30 , 30 , 0 ,100%,$469 ,$468 
618700,BB ADULT CAT WEIGHT CONTROL,84024312251, 36 , 36 , 0 ,100%,$323 ,$318 
637162,BB KITTEN FORMULA,84024312253, 42 , 42 , 0 ,100%,$371 ,$374 
986504,BB ADLT INDOOR CAT CKN GF,84024312255, 24 , 27 ,(3),113%,$204 ,$226 
861334,BB MATURE CAT FORMULA,84024312257, 0 , 3 ,(3),N/A,$0 ,$48 
831218,BB LPF CHIKN ADULT DOG FOOD,84024312258, 100 , 96 , 4 ,96%,"$3,912 ","$3,760 "
973634,BB LPF CHIKN LRG ADUL DOG FOOD,84024312260, 64 , 64 , 0 ,100%,"$2,555 ","$2,562 "
470464,BB ADULT DOG CKN SM BREED,84024312261, 125 , 122 , 3 ,98%,"$1,248 ","$1,221 "
576657,BB ADULT DOG LAMB & BRN RICE,84024312263, 25 , 26 ,(1),104%,$250 ,$260 
471395,BB PUPPY CHKN & BRN RICE,84024312264, 30 , 40 ,(10),133%,$299 ,$401 
556172,BB SENIOR CHN & BRN RICE DOG,84024312265, 45 , 44 , 1 ,98%,$450 ,$440 
524666,BB GF ADLT CKN 10LB DG,84024312266, 68 , 65 , 3 ,96%,"$1,767 ","$1,697 "
511171,BB GRAIN FREE CHICKEN ADULT,84024312267, 70 , 70 , 0 ,100%,"$1,189 ","$1,180 "
951755,BB GRN FR CHIKN PUPPY FOOD,84024312268, 18 , 17 , 1 ,94%,$468 ,$442 
427608,BB GRAIN FREE CHICKEN PUPPY,84024312269, 25 , 27 ,(2),108%,$424 ,$458 
975824,BB BEEF BITS VALUE SIZE DOG,84024312272, 78 , 80 ,(2),103%,$622 ,$640 
732535,BB KITTY CRAVINGS CHICKEN,84024312289, 18 , 16 , 2 ,89%,$63 ,$56 
520091,BB HLTHY ADULT VARIETY PATE,84024312297, 50 , 51 ,(1),102%,$549 ,$559 
985540,BB STIX BEEF 6OZ DOG,84024312299, 96 , 92 , 4 ,96%,$575 ,$549 
441720,BB LAMB & RICE ADULT DOG 22 LB,84024312493, 29 , 30 ,(1),103%,"$1,130 ","$1,169 "
781536,BB HR GF CHKN W/VEG DOG,84024312513, 228 , 236 ,(8),104%,$477 ,$494 
430507,BB HR GF BEEF W/VEG DOG,84024312514, 192 , 196 ,(4),102%,$401 ,$410 
776331,BB WILDRNSS WILD BITS CHKN,84024312538, 24 , 25 ,(1),104%,$287 ,$300 
674901,BB WILD ADLT DOG CHICKEN,84024313068, 45 , 43 , 2 ,96%,"$2,070 ","$1,980 "
708780,BB WILD ADLT DOG DUCK,84024313069, 6 , 6 , 0 ,100%,$294 ,$294 
785321,BB WILDERNESS ADLT DOG SALMON,84024313071, 26 , 27 ,(1),104%,"$1,274 ","$1,323 "
413082,BB WILD LB ADLT DOG CHICKEN,84024313072, 28 , 28 , 0 ,100%,"$1,288 ","$1,288 "
497281,BB WILDERNESS PUPPY CHICKEN,84024313075, 18 , 18 , 0 ,100%,$828 ,$828 
662600,BB ROCKY MT ADLT DOG RED MEAT,84024313078, 45 , 43 , 2 ,96%,$855 ,$817 
138231,TX LONESTAR TREATS BEEF JERKY,84423204776, 24 , 24 , 0 ,100%,$180 ,$180 
443095,MIX HAIRBALL CAT FOOD 6.3LB,85159900040, 64 , 62 , 2 ,97%,$498 ,$483 
363742,BUCKLEY TRAINERS TREATS CHCKN,85645200506, 40 , 39 , 1 ,98%,$200 ,$195 
738156,BUCKLEY BEEF LUNG JERKY,85660500501, 36 , 35 , 1 ,97%,$180 ,$175 
238432,FORTIS CAT TREATS GRILLED TUNA,85705100347, 480 , 441 , 39 ,92%,$422 ,$388 
238435,FORTIS CAT TREATS SIMM SALMON,85705100348, 440 , 437 , 3 ,99%,$387 ,$385 
238446,CALICO BAY SKIPJACK TUNA,85705100353, 468 , 463 , 5 ,99%,$187 ,$185 
238448,CALICO BAY TUNA & MACKEREL,85705100354, 252 , 203 , 49 ,81%,$101 ,$81 
238455,CALICO BAY TUNA & WHITEFISH,85705100355, 468 , 402 , 66 ,86%,$187 ,$161 
351759,CB TUNA & SALMON IN GRAVY,85705100375, 70 , 65 , 5 ,93%,$35 ,$33 
351754,CB TUNA & PUMPKIN,85705100376, 42 , 42 , 0 ,100%,$21 ,$21 
378607,CALICO BAY VARIETY PACK,85705100377, 42 , 40 , 2 ,95%,$252 ,$240 
351766,PARAMOUNT CHICKEN STEW W VEG,85705100378, 104 , 103 , 1 ,99%,$155 ,$153 
351763,PARAMOUNT LAMB AND CHCKEN STEW,85705100380, 72 , 67 , 5 ,93%,$107 ,$100 
351775,PARAMOUNT CHICKEN & BEEF W VEG,85705100381, 88 , 94 ,(6),107%,$131 ,$140 
370219,PARAMOUNT VALUE PACK,85705100385, 30 , 26 , 4 ,87%,$263 ,$228 
0,CATCHUP CAT SUPPLEMENT SALMON,85736400404, 0 , 5 ,(5),N/A,$0 ,$30 
115692,PETCHUP MWTRD LIQ CAT SPPLMNT,85736400406, 0 , 2 ,(2),N/A,$0 ,$12 
815013,BB CHICKEN PUPPY FOOD,85961000001, 45 , 43 , 2 ,96%,$719 ,$688 
864809,BB HLTHY WGHT ADULT DOG FOOD,85961000002, 40 , 42 ,(2),105%,$639 ,$671 
846165,BB LPF CHIKN PUPPY FOOD,85961000003, 43 , 43 , 0 ,100%,"$1,289 ","$1,293 "
478567,BB LPF HW CHIKN ADULT DOG FOOD,85961000004, 50 , 48 , 2 ,96%,"$1,499 ","$1,430 "
743821,BB CHIKN ADULT DOG FOOD,85961000007, 115 , 113 , 2 ,98%,"$1,837 ","$1,808 "
737227,BB LPF CHIKN ADULT DOG FOOD,85961000009, 81 , 83 ,(2),102%,"$2,429 ","$2,487 "
908136,BB CHIKN SENIOR DOG FOOD,85961000013, 55 , 58 ,(3),105%,$879 ,$929 
915358,BB LPF CHIKN SENIOR DOG FOOD,85961000015, 61 , 63 ,(2),103%,"$1,829 ","$1,894 "
630296,BB LPF FISH ADULT DOG FOOD,85961000030, 44 , 45 ,(1),102%,"$1,319 ","$1,352 "
992247,BB LAMB ADULT DOG FOOD,85961000033, 30 , 31 ,(1),103%,$479 ,$495 
599448,BB LPF LAMB ADULT DOG FOOD,85961000035, 29 , 30 ,(1),103%,$869 ,$899 
405907,BB LPF CHIKN LRG PUPPY FOOD,85961000042, 8 , 8 , 0 ,100%,$240 ,$241 
868464,BB BITS CHICKEN 4OZ DOG,85961000518, 78 , 68 , 10 ,87%,$311 ,$272 
696772,BB WILD TURKEY & CHKN BISCUIT,85961000544, 36 , 38 ,(2),106%,$215 ,$228 
564523,BB WILD DUCK & CHKN BISCUIT,85961000548, 30 , 33 ,(3),110%,$179 ,$198 
489463,BB WILD PUPPY CHICKEN,85961000563, 20 , 24 ,(4),120%,$380 ,$456 
653300,BB WILD SB ADULT DOG CHK,85961000567, 30 , 35 ,(5),117%,$570 ,$665 
658710,BB BLUE WLD SB AD DOG CHICKEN,85961000569, 22 , 21 , 1 ,95%,$659 ,$630 
757075,BB FAM FAV CHIKN DOG FOOD,85961000685, 108 , 109 ,(1),101%,$268 ,$270 
588149,BB HOMESTYLE CHIKN SENIOR DOG,85961000747, 564 , 568 ,(4),101%,"$1,218 ","$1,227 "
140377,ULTRA CHEWY CHICKEN DOG BONE,87786900128, 768 , 781 ,(13),102%,$768 ,$783 
557211,NUMI CAT LITTER,750151480001, 0 , 0 , 0 ,N/A,$0 ,$0 
